@relation exito

@attribute actividad {RESTAURANTES, SALUD_Y_BELLEZA, SERVICIOS, ALIMENTACIÓN, MODA_Y_COMPLEMENTOS, DEPORTES_Y_OCIO, TECNOLOGÍA,INFANTIL}
@attribute proximo_zona_descanso {SI,NO}
@attribute tamanio {MEDIANO,PEQUEÑO,GRANDE}
@attribute franquicia {SI,NO}
@attribute proximo_tienda_exitosa {SI,NO}
@attribute precios {BAJOS,MEDIOS,ALTOS}
@attribute exitosa {SI,NO}

@data
SALUD_Y_BELLEZA,NO,MEDIANO,SI,NO,BAJOS,SI
SERVICIOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,NO,BAJOS,SI
SALUD_Y_BELLEZA,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
SALUD_Y_BELLEZA,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,SI,BAJOS,SI
DEPORTES_Y_OCIO,NO,MEDIANO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,SI,MEDIOS,NO
SALUD_Y_BELLEZA,NO,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,NO,PEQUEÑO,NO,SI,MEDIOS,NO
TECNOLOGÍA,NO,MEDIANO,SI,NO,MEDIOS,SI
TECNOLOGÍA,NO,PEQUEÑO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
RESTAURANTES,NO,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,NO,MEDIOS,NO
INFANTIL,NO,MEDIANO,SI,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,GRANDE,SI,NO,ALTOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
SERVICIOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,NO,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,SI,MEDIOS,NO
TECNOLOGÍA,NO,MEDIANO,SI,NO,BAJOS,SI
RESTAURANTES,NO,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,NO,PEQUEÑO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
SALUD_Y_BELLEZA,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,NO,MEDIOS,NO
SALUD_Y_BELLEZA,NO,MEDIANO,SI,NO,BAJOS,SI
SERVICIOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,NO,BAJOS,SI
SALUD_Y_BELLEZA,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
SALUD_Y_BELLEZA,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,SI,BAJOS,SI
DEPORTES_Y_OCIO,NO,MEDIANO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,SI,MEDIOS,NO
SALUD_Y_BELLEZA,NO,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,NO,PEQUEÑO,NO,SI,MEDIOS,NO
TECNOLOGÍA,NO,MEDIANO,SI,NO,MEDIOS,SI
TECNOLOGÍA,NO,PEQUEÑO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
RESTAURANTES,NO,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,NO,MEDIOS,NO
INFANTIL,NO,MEDIANO,SI,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,GRANDE,SI,NO,ALTOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
SERVICIOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,NO,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,SI,MEDIOS,NO
TECNOLOGÍA,NO,MEDIANO,SI,NO,BAJOS,SI
RESTAURANTES,NO,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,NO,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,NO,PEQUEÑO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,MEDIANO,SI,NO,MEDIOS,SI
SALUD_Y_BELLEZA,NO,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,MEDIANO,NO,NO,MEDIOS,NO
