100 MONTADITOS,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,POCO,SI
1628 CAFÉ FUSIÓN,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
ALAIN AFFLEOU,SALUD Y BELLEZA,SI,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,MUCHO,SI
AREPAS DEL NEGRO MARIO,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO ,SI
BAKU FUSIÓN,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,MUCHO ,NO
BANCO SANTANDER,SERVICIOS,SI,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO ,SI
BARRAQUITOS CAFÉ,RESTAURANTES,SI,NO,ALTA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,POCO,NO
BEAUTIK,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,MUJER,NO,MEDIOS,POCO,SI
BELROS,ALIMENTACIÓN,SI,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,MUCHO,NO
BERSHKA,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,GRANDE,SI,MUJER,SI,MEDIOS,MUCHO ,SI
BERSHKA MEN,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,SI,HOMBRE,NO,MEDIOS,POCO,SI
BIJOU BRIGITTE,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,MUJER,NO,MEDIOS,POCO,NO
BILBAO PINTXOS SIEMPRE,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,MUCHO,SI
BLANCO,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,GRANDE,SI,MUJER,NO,MEDIOS,MUCHO,SI
BODY BELL,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,MEDIANO,NO,MUJER,SI,MEDIOS,MUCHO,NO
C&A,MODA Y COMPLEMENTOS,NO,NO,BAJA,LOCAL,GRANDE,SI,UNISEX,NO,BAJOS,POCO,NO
CALZEDONIA,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO ,SI
CASA DEL ORO,MODA Y COMPLEMENTOS,SI,NO,MEDIA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,MUCHO,NO
CENTROS UNICO,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,POCO,NO
CERVECERÍA LA SUREÑA,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,BAJOS,POCO,SI
CHICCO,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,NO,MUJER,NO,MEDIOS,MUCHO,NO
CLAIRE'S,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,MUJER,NO,MEDIOS,MUCHO,NO
DECIMAS,DEPORTES Y OCIO,NO,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO ,NO
DOUGLAS,SALUD Y BELLEZA,NO,SI,MEDIA,LOCAL,MEDIANO,NO,MUJER,SI,MEDIOS,POCO,NO
ELEGANCE SWATCH,MODA Y COMPLEMENTOS,SI,NO,MEDIA,LOCAL,PEQUEÑO,NO,UNISEX,SI,MEDIOS,POCO,NO
ELLA MANICURA,SALUD Y BELLEZA,NO,NO,MEDIA,STAND,PEQUEÑO,NO,MUJER,NO,BAJOS,POCO,NO
ENCUENTRO,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO,SI
ETAM,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
FARMAPARQUE,ALIMENTACIÓN,SI,NO,BAJA,LOCAL,PEQUEÑO,NO,UNISEX,SI,MEDIOS,MUCHO ,NO
FÍGARO PELUQUEROS,SALUD Y BELLEZA,NO,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,MUCHO,SI
FLORMAR,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,MUJER,NO,MEDIOS,POCO,NO
GAME,TECNOLOGÍA,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO,SI
GUESS,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,SI,ALTOS,MUCHO,SI
GUSCIO,TECNOLOGÍA,NO,NO,MEDIA,STAND,PEQUEÑO,NO,MUJER,NO,MEDIOS,POCO,NO
H&M,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO ,SI
HEALTH GASTROBAR,RESTAURANTES,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
HELADERÍA 4D,RESTAURANTES,NO,NO,ALTA,LOCAL,PEQUEÑO,NO,UNISEX,SI,BAJOS,POCO,NO
INSIDE,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,SI,MEDIOS,POCO,NO
INTIMISSIMI,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO,SI
ITEAL,TECNOLOGÍA,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,POCO,NO
JACK&JONES,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,HOMBRE,NO,MEDIOS,MUCHO ,SI
JOSÉ LUIS JOYERÍAS,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,MUCHO,NO
JUGUETOON,INFANTIL,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,POCO,NO
K-PRICHOS,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,NO,MUJER,SI,MEDIOS,POCO,NO
KAQPRICHIE,SALUD Y BELLEZA,NO,NO,MEDIA,STAND,PEQUEÑO,NO,MUJER,NO,MEDIOS,MUCHO,NO
KFC,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,POCO,SI
KIKO,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,BAJOS,POCO,SI
LA TAQUERÍA,RESTAURANTES,SI,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,SI,MEDIOS,POCO,NO
LEVI'S,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO,SI
MANGO,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO ,SI
MARYPAZ,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO,SI
MASSIMO DUTTI,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,GRANDE,SI,HOMBRE,NO,ALTOS,MUCHO,SI
MCDONALD'S,RESTAURANTES,SI,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO ,SI
MISAKO,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,PEQUEÑO,NO,MUJER,NO,MEDIOS,POCO,NO
MISTER MINIT,SERVICIOS,NO,NO,BAJA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,POCO,NO
MOO'S MILKSHAKES,RESTAURANTES,NO,NO,ALTA,LOCAL,PEQUEÑO,SI,UNISEX,NO,MEDIOS,POCO,NO
